subject,run_number,Trialid,condition,choice_number,self_value,other_value,choice,self,other,choice_RT
1201,2,33,4,3,25,30,1,25,30,866
1201,2,33,4,4,11,6,1,11,6,1189
1201,2,34,2,1,30,15,1,30,15,1297
1201,2,34,2,2,8,16,2,10,10,1895
1201,2,34,2,3,11,6,1,11,6,1103
1201,2,34,2,4,30,25,1,30,25,922
1201,3,1,1,1,30,10,1,30,10,861
1201,3,1,1,2,10,22,2,10,10,1890
1201,3,1,1,3,4,28,2,10,10,996
1201,3,1,1,4,12,3,1,12,3,745
1201,3,3,3,1,30,15,1,30,15,793
1201,3,3,3,2,1,13,2,10,10,887
1201,3,3,3,3,31,3,1,31,3,877
1201,3,3,3,4,10,18,2,10,10,1729
1201,3,5,4,1,4,28,2,10,10,1236
1201,3,5,4,2,12,3,1,12,3,1721
1201,3,5,4,3,18,10,1,18,10,848
1201,3,5,4,4,15,30,1,15,30,781
1201,3,6,2,1,17,3,1,17,3,652
1201,3,6,2,2,8,16,2,10,10,1196
1201,3,6,2,3,10,18,2,10,10,1511
1201,3,6,2,4,18,10,1,18,10,1136
1201,3,8,1,1,18,10,1,18,10,855
1201,3,8,1,2,10,18,2,10,10,1556
1201,3,8,1,3,2,18,2,10,10,1268
1201,3,8,1,4,17,3,1,17,3,759
1201,3,9,4,1,10,22,2,10,10,1512
1201,3,9,4,2,8,16,2,10,10,1027
1201,3,9,4,3,30,10,1,30,10,828
1201,3,9,4,4,12,8,1,12,8,681
1201,3,11,3,1,11,8,1,11,8,1208
1201,3,11,3,2,2,18,2,10,10,2248
1201,3,11,3,3,30,10,1,30,10,661
1201,3,11,3,4,15,30,1,15,30,1544
1201,3,12,2,1,10,22,1,10,22,1388
1201,3,12,2,2,11,8,1,11,8,772
1201,3,12,2,3,18,12,1,18,12,1135
1201,3,12,2,4,7,13,2,10,10,1544
1201,3,14,1,1,11,8,1,11,8,1267
1201,3,14,1,2,22,12,1,22,12,770
1201,3,14,1,3,8,16,2,10,10,1591
1201,3,14,1,4,10,30,1,10,30,1486
1201,3,16,3,1,18,10,1,18,10,1079
1201,3,16,3,2,12,18,1,12,18,1497
1201,3,16,3,3,17,3,1,17,3,718
1201,3,16,3,4,4,28,2,10,10,1609
1201,3,17,4,1,11,8,1,11,8,1350
1201,3,17,4,2,7,13,2,10,10,932
1201,3,17,4,3,22,10,1,22,10,823
1201,3,17,4,4,10,30,2,10,10,1467
1201,3,18,2,1,10,30,2,10,10,1385
1201,3,18,2,2,12,8,1,12,8,962
1201,3,18,2,3,22,12,1,22,12,733
1201,3,18,2,4,4,28,2,10,10,1623
1201,3,20,3,1,12,3,1,12,3,1141
1201,3,20,3,2,18,12,1,18,12,763
1201,3,20,3,3,10,30,1,10,30,2023
1201,3,20,3,4,7,13,2,10,10,1076
1201,3,21,1,1,12,18,1,12,18,987
1201,3,21,1,2,16,8,1,16,8,626
1201,3,21,1,3,30,15,1,30,15,847
1201,3,21,1,4,1,13,2,10,10,1072
1201,3,22,2,1,31,3,1,31,3,973
1201,3,22,2,2,7,11,2,10,10,1028
1201,3,22,2,3,30,15,1,30,15,693
1201,3,22,2,4,15,30,1,15,30,1089
1201,3,24,4,1,12,18,1,12,18,1633
1201,3,24,4,2,2,18,2,10,10,1237
1201,3,24,4,3,18,12,1,18,12,939
1201,3,24,4,4,16,8,1,16,8,944
1201,3,26,3,1,8,16,2,10,10,1253
1201,3,26,3,2,12,8,1,12,8,1140
1201,3,26,3,3,22,12,1,22,12,662
